sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-50,1,68,5,0
2,-50,1,10,7,0
3,-49,1,198,12,0
4,-49,1,212,6,0
5,-48,1,2,5,0
6,-48,1,7,9,0
7,-47,1,25,7,0
8,-47,1,2,10,0
9,-47,1,285,2,0
10,-47,1,31,5,0
11,-47,1,42,9,0
12,-47,1,0,7,0
13,-46,1,3,6,0
14,-45,1,31,8,0
15,-44,1,43,5,0
16,-44,1,146,6,0
17,-44,1,12,6,0
18,-44,1,42,7,0
19,-44,1,169,6,0
20,-44,1,56,6,0
21,-44,1,96,4,0
22,-44,1,29,8,0
23,-43,1,38,6,0
24,-43,1,85,4,0
25,-43,1,0,3,0
26,-43,1,6,2,0
27,-42,1,27,10,0
28,-42,1,111,5,0
29,-42,1,13,8,0
30,-42,1,309,9,0
31,-42,1,24,6,0
32,-41,1,21,10,0
33,-40,1,189,12,0
34,-40,1,35,8,0
35,-40,1,140,12,0
36,-40,1,6,5,0
37,-39,1,42,8,0
38,-39,1,14,6,0
39,-39,1,11,10,0
40,-39,1,5,5,0
41,-39,1,285,7,0
42,-39,1,73,4,0
43,-39,1,10,5,0
44,-38,1,167,10,0
45,-38,1,87,6,0
46,-37,1,64,7,0
47,-37,1,1,12,0
48,-36,1,7,4,0
49,-36,1,12,6,0
50,-35,1,1,5,0
51,-35,1,5,2,0
52,-34,1,130,4,0
53,-34,1,78,4,0
54,-33,1,1,2,0
55,-32,1,142,4,0
56,-32,1,28,6,0
57,-32,1,153,4,0
58,-32,1,8,3,0
59,-32,1,35,4,0
60,-32,1,98,7,0
61,-32,1,9,8,0
62,-31,1,46,2,0
63,-31,1,383,10,0
64,-31,1,195,4,0
65,-31,1,2,2,0
66,-31,1,18,4,0
67,-31,1,87,10,0
68,-31,1,184,8,0
69,-30,1,3,2,0
70,-30,1,1,8,0
71,-30,1,20,8,0
72,-30,1,164,6,0
73,-30,1,12,10,0
74,-30,1,65,6,0
75,-30,1,148,5,0
76,-30,1,10,7,0
77,-29,1,17,9,0
78,-29,1,81,2,0
79,-28,1,37,2,0
80,-28,1,150,3,0
81,-28,1,17,10,0
82,-27,1,71,4,0
83,-27,1,32,4,0
84,-27,1,477,5,0
85,-27,1,483,4,0
86,-26,1,84,2,0
87,-26,1,109,8,0
88,-25,1,27,7,0
89,-24,1,0,11,0
90,-24,1,13,10,0
91,-23,1,235,10,0
92,-22,1,478,8,0
93,-22,1,17,10,0
94,-22,1,178,2,0
95,-22,1,6,9,0
96,-22,1,10,4,0
97,-22,1,186,8,0
98,-21,1,17,8,0
99,-21,1,21,10,0
100,-21,1,299,8,0
101,-20,1,63,10,0
102,-20,1,114,9,0
103,-20,1,49,6,0
104,-20,1,8,5,0
105,-20,1,78,4,0
106,-20,1,125,2,0
107,-20,1,118,4,0
108,-20,1,2,10,0
109,-19,1,4,8,0
110,-19,1,447,10,0
111,-18,1,14,8,0
112,-18,1,97,4,0
113,-17,1,100,8,0
114,-17,1,7,7,0
115,-17,1,0,7,0
116,-16,1,32,8,0
117,-16,1,5,5,0
118,-15,1,177,4,0
119,-15,1,6,9,0
120,-14,1,34,9,0
121,-14,1,339,4,0
122,-13,1,16,8,0
123,-13,1,247,4,0
124,-13,1,47,1,0
125,-13,1,3,10,0
126,-13,1,29,9,0
127,-13,1,26,4,0
128,-13,1,298,9,0
129,-13,1,24,3,0
130,-12,1,138,12,0
131,-12,1,10,8,0
132,-12,1,37,8,0
133,-12,1,6,12,0
134,-12,1,358,6,0
135,-12,1,342,2,0
136,-12,1,109,7,0
137,-11,1,37,10,0
138,-11,1,13,12,0
139,-11,1,95,6,0
140,-10,1,96,8,0
141,-9,1,194,3,0
142,-9,1,10,4,0
143,-9,1,0,4,0
144,-9,1,12,2,0
145,-9,1,3,7,0
146,-9,1,18,5,0
147,-9,1,91,5,0
148,-9,1,79,2,0
149,-8,1,413,6,0
150,-7,1,280,9,0
151,-7,1,40,3,0
152,-6,1,5,5,0
153,-6,1,49,2,0
154,-6,1,66,3,0
